exclusion_id,analysis_profile,granularity,token_id,locus_id,source_reference,reason_code,resolution_status,related_passage_ids_json,source_id,source_version
X_CLAUSE_1d03272f64660f869a070b65cfebff1d994eebb8ef919e129e6b29e233b6b2eb,edition_complete,clause,HB_EZEK_042_009_0002~c61b0f475cd8,KQL_EZK_042_009_0001,EZK 42:9,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_65e387c1d80c132c04c6cb3dc46089774f734a67efad8664dd20bf4d92882f6c,edition_complete,clause,HB_EZEK_043_016_0001~6f2a6e758af6,KQL_EZK_043_016_0001,EZK 43:16,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_181154be580a0e293f792b4112f5c48f6a5a461815a69990c8693756453b5c99,edition_complete,clause,HB_EZEK_045_005_0008~c9d15a6bccdc,KQL_EZK_045_005_0008,EZK 45:5,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_c7967a10d15e106939d69f824a0a1d1d309bcbda47315c2b950d0956a9161644,edition_complete,clause,HB_EZEK_047_012_0025~f16e554a200f,KQL_EZK_047_012_0025,EZK 47:12,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_73b9135885cb5fa2113ca7aa9a989011dc4cb63ad51006ff8f2d0ecff283b5c8,edition_complete,clause,HB_EZEK_047_008_0017~d830be11c249,KQL_EZK_047_008_0017,EZK 47:8,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_a8d24ff36d04e5c0e3d7f24491337c85d9a79e725d9b0b6c42907cd3e560c328,edition_complete,clause,HB_EZEK_007_021_0008~c83251c6ef2f,KQL_EZK_007_021_0008,EZK 7:21,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_3ba0c2b051f62ccf40de4da44c4e91f1651b042f1f2a3fdb654aca2b49237092,edition_complete,clause,HB_EZRA_003_003_0010~910f3c4cdafa,KQL_EZR_003_003_0010,EZR 3:3,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_09d3d0e50a49c0700b2db4df58a1f9bc6e58b4471eb060cc15ff7a7412dde177,edition_complete,clause,HB_EZRA_004_012_0018~580b56bee91b,KQL_EZR_004_012_0018,EZR 4:12,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_5ee7949c538620c73544a56b1024400657fd62381284cdac6e1687b34b45d634,edition_complete,clause,HB_EZRA_004_002_0015~0c0fb44ba4a9,KQL_EZR_004_002_0015,EZR 4:2,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_dfeb9e0fee7c79f7cf783f0f9884d4cee061ebaa0f4e68e93b0a82b9be7d060f,edition_complete,clause,HB_EZRA_004_004_0008~f7853ff4d7eb,KQL_EZR_004_004_0008,EZR 4:4,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_5947f2fa825c3accdb379142d7f9acbf64dbc7ec02d677686f6c0f4f82d0e579,edition_complete,clause,HB_EZRA_008_017_0001~d4d2111aeda9,KQL_EZR_008_017_0001,EZR 8:17,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_94b6d985bd9ab1aa66785311e7401ed1b2f280aaeb12d5583f60d54e9e514c7a,edition_complete,clause,HB_EZRA_008_025_0001~9d15590fa103,KQL_EZR_008_025_0001,EZR 8:25,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_0f77e1f5f111edc9552b12a2360168049d62647e4ea43dc4d69252179193d5cd,edition_complete,clause,HB_GEN_024_033_0001~6257b3f3e204,KQL_GEN_024_033_0001,GEN 24:33,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_0ad86a3f42e31d8ed086e91c739952e524d4bc88560bf11a7ccc1155f371d29f,edition_complete,clause,HB_GEN_027_029_0003~f62f093c8cdb,KQL_GEN_027_029_0003,GEN 27:29,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_f35af1f32ec3a79cf63e081524b771297b91414444bd18c109002c50b7f3e8e8,edition_complete,clause,HB_GEN_043_028_0008~ce1e5f2ae013,KQL_GEN_043_028_0008,GEN 43:28,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_4c85e23c028585f3b832cf7f3642dd2c907db83d1c336a80a88b849ce6f09184,edition_complete,clause,HB_HAG_001_008_0009~3e148872b541,KQL_HAG_001_008_0009,HAG 1:8,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_81798bdcc293950a751bf4bd38d2f0de5055c73ae24041b804659e8f5786ee63,edition_complete,clause,HB_ISA_010_013_0012~31412bc73db0,KQL_ISA_010_013_0012,ISA 10:13,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_e5b489a3838b0665075904babb8d13b52b87cdc2b8be3892868c23645c086f85,edition_complete,clause,HB_ISA_010_006_0012~bebb4b7a4e58,KQL_ISA_010_006_0012,ISA 10:6,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_8da7b64aa67213aea8f2aa4a10c5858dd6c731ad4291b6a9660f4cae76fcb3f8,edition_complete,clause,HB_ISA_032_015_0009~1e81db16c706,KQL_ISA_032_015_0009,ISA 32:15,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_3a258d780218ba801cee599916dc325479a20c17d45e157ac0c7dee1bf620b9d,edition_complete,clause,HB_ISA_037_030_0016~1606a948375f,KQL_ISA_037_030_0016,ISA 37:30,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
