book,source_reference,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count,sample_ordinal
2TH,2Thess.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16,1
2TH,2Thess.1.1-2Thess.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
2TH,2Thess.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,63,3
2TI,2Tim.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,27,1
2TI,2Tim.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,69,2
2TI,2Tim.1.10-2Tim.1.11,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,3
2TI,2Tim.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,27,1
2TI,2Tim.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,69,2
2TI,2Tim.1.10-2Tim.1.11,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,3
3JN,3John.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,13,1
3JN,3John.1.1-3John.1.4,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
3JN,3John.1.1-3John.1.6,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
3JN,3John.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,13,1
3JN,3John.1.1-3John.1.4,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
3JN,3John.1.1-3John.1.6,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
ACT,Acts.19.1-Acts.19.41,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
ACT,Acts.19.23-Acts.19.41,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2,2
ACT,Acts.19.28-Acts.19.41,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,3,3
ACT,Acts.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16,1
ACT,Acts.1.1-Acts.1.11,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
ACT,Acts.1.1-Acts.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
ACT,Acts.15.30-Acts.15.35,critical_core,mapped_partial,partial_provisional,True,False,reference_gap,1,1
ACT,Acts.24.1-Acts.24.13,critical_core,mapped_partial,partial_provisional,True,False,reference_gap,3,2
ACT,Acts.24.1-Acts.24.26,critical_core,mapped_partial,partial_provisional,True,False,reference_gap,1,3
ACT,Acts.19.41,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,4,1
ACT,Acts.19.1-Acts.19.41,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
ACT,Acts.19.23-Acts.19.41,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,2,2
ACT,Acts.19.28-Acts.19.41,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,3,3
ACT,Acts.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16,1
ACT,Acts.1.1-Acts.1.11,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
ACT,Acts.1.1-Acts.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
ACT,Acts.15.30-Acts.15.35,edition_complete,mapped_partial,partial_provisional,True,False,reference_gap,1,1
ACT,Acts.24.1-Acts.24.13,edition_complete,mapped_partial,partial_provisional,True,False,reference_gap,3,2
ACT,Acts.24.1-Acts.24.26,edition_complete,mapped_partial,partial_provisional,True,False,reference_gap,1,3
ACT,Acts.19.41,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,4,1
AMO,Amos.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,40,1
AMO,Amos.1.1-Amos.1.15,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
AMO,Amos.1.1-Amos.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
AMO,Amos.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,40,1
AMO,Amos.1.1-Amos.1.15,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
AMO,Amos.1.1-Amos.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
COL,Col.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,18,1
COL,Col.1.1-Col.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,2
COL,Col.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,86,3
COL,Col.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,18,1
COL,Col.1.1-Col.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,2
COL,Col.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,86,3
DAN,Dan.4.1-Dan.4.37,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
DAN,Dan.4.30-Dan.4.37,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,6,2
DAN,Dan.4.31-Dan.4.35,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,3
DAN,Dan.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6,1
DAN,Dan.1.1-Dan.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5,2
DAN,Dan.1.1-Dan.1.3,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
DAN,Dan.4.35,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,101,1
DAN,Dan.4.35-Dan.4.37,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,1,2
DAN,Dan.4.36,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,11,3
DAN,Dan.4.1-Dan.4.37,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
DAN,Dan.4.30-Dan.4.37,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,6,2
DAN,Dan.4.31-Dan.4.35,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,3
DAN,Dan.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6,1
DAN,Dan.1.1-Dan.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5,2
DAN,Dan.1.1-Dan.1.3,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
