book,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count
MAT,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,28585
MAT,edition_complete,mapped_partial,partial_provisional,True,False,reference_gap,33
MAT,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,28585
MIC,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1
MIC,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4075
MIC,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10
MIC,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1
MIC,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4075
MIC,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10
MRK,critical_core,excluded_by_profile,profile_excluded,False,True,disputed_passage,449
MRK,critical_core,mapped_partial,partial_provisional,False,True,disputed_passage,1
MRK,critical_core,mapped_partial,partial_provisional,True,False,reference_gap,50
MRK,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,10497
MRK,edition_complete,mapped_partial,partial_provisional,True,False,reference_gap,50
MRK,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,10497
MRK,edition_complete,mapped_provisional,provisional_mechanical,False,True,disputed_passage,450
NAM,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1098
NAM,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,42
NAM,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1098
NAM,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,42
NEH,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,20
NEH,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5636
NEH,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,58
NEH,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,20
NEH,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5636
NEH,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,58
NUM,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,15
NUM,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,14105
NUM,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,254
NUM,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,15
NUM,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,14105
NUM,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,254
OBA,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,517
OBA,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,517
PHM,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,452
PHM,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,452
PHP,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4547
PHP,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4547
PRO,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19001
PRO,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19001
PSA,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,64896
PSA,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,64896
REV,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16438
REV,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16438
ROM,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16802
ROM,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16802
RUT,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,945
RUT,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,945
SNG,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2651
SNG,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,24
SNG,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2651
SNG,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,24
TIT,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2206
TIT,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2206
ZEC,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1
ZEC,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6747
ZEC,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,72
ZEC,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1
ZEC,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6747
ZEC,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,72
ZEP,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1937
ZEP,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1937
unresolved,critical_core,unresolved_reference,unresolved,False,False,unresolved_reference,18
unresolved,edition_complete,unresolved_reference,unresolved,False,False,unresolved_reference,18
